[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:49:32Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:34Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:36Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:38Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:40Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:42Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:44Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:45Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:47Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:49Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:50Z] Copying disk 0, Completed: 18%
[2025-06-19T02:49:52Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:14Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:16Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:18Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:20Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:22Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:23Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:25Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:27Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:29Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:31Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:33Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:57Z] Copying disk 0, Completed: 18%
[2025-06-19T02:50:59Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:01Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:02Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:04Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:06Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:08Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:10Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:12Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:13Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:15Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:17Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:19Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:20Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:22Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:24Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:26Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:28Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:30Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:32Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:33Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:35Z] Copying disk 0, Completed: 18%
[2025-06-19T02:51:59Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:00Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:02Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:04Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:06Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:08Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:10Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:11Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:13Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:15Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:17Z] Copying disk 0, Completed: 18%
[2025-06-19T02:52:19Z] Copying disk 0, Completed: 18%
